"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 13:19:47 GMT 2024","Thu Oct 17 13:19:48 GMT 2024","796","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"passed","Thu Oct 17 13:19:32 GMT 2024","Thu Oct 17 13:19:33 GMT 2024","815","chromium","Decimal_API/updateProduct.spec.ts","","","","updateProduct",""
"passed","Thu Oct 17 13:18:16 GMT 2024","Thu Oct 17 13:18:16 GMT 2024","743","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"failed","Thu Oct 17 13:19:17 GMT 2024","Thu Oct 17 13:19:18 GMT 2024","803","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"passed","Thu Oct 17 13:18:18 GMT 2024","Thu Oct 17 13:18:19 GMT 2024","751","chromium","Decimal_API/deleteUserRoleMpaaing.spec.ts","","","","deleteUserRoleMapping",""
"failed","Thu Oct 17 13:18:09 GMT 2024","Thu Oct 17 13:18:10 GMT 2024","791","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"passed","Thu Oct 17 13:17:29 GMT 2024","Thu Oct 17 13:17:30 GMT 2024","922","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"passed","Thu Oct 17 13:17:56 GMT 2024","Thu Oct 17 13:17:57 GMT 2024","809","chromium","Decimal_API/deleteEmployee.spec.ts","","","","deleteEmployee",""
"failed","Thu Oct 17 13:17:47 GMT 2024","Thu Oct 17 13:17:47 GMT 2024","783","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"failed","Thu Oct 17 13:18:49 GMT 2024","Thu Oct 17 13:18:50 GMT 2024","803","chromium","Decimal_API/getProduct.spec.ts","","","","getProduct",""
"failed","Thu Oct 17 13:17:55 GMT 2024","Thu Oct 17 13:17:56 GMT 2024","797","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"passed","Thu Oct 17 13:18:19 GMT 2024","Thu Oct 17 13:18:19 GMT 2024","761","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"passed","Thu Oct 17 13:17:52 GMT 2024","Thu Oct 17 13:17:52 GMT 2024","759","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"passed","Thu Oct 17 13:17:50 GMT 2024","Thu Oct 17 13:17:51 GMT 2024","745","chromium","Decimal_API/createtLovValue.spec.ts","","","","createLovValue",""
"passed","Thu Oct 17 13:17:49 GMT 2024","Thu Oct 17 13:17:50 GMT 2024","767","chromium","Decimal_API/createSystemRole.spec.ts","","","","createSystemRole",""
"failed","Thu Oct 17 13:19:54 GMT 2024","Thu Oct 17 13:19:55 GMT 2024","785","chromium","Decimal_API/updateWorkflow.spec.ts","","","","updateWorkflow",""
"passed","Thu Oct 17 13:17:49 GMT 2024","Thu Oct 17 13:17:49 GMT 2024","749","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"passed","Thu Oct 17 13:18:17 GMT 2024","Thu Oct 17 13:18:18 GMT 2024","751","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"failed","Thu Oct 17 13:19:05 GMT 2024","Thu Oct 17 13:19:06 GMT 2024","806","chromium","Decimal_API/getUser.spec.ts","","","","getUser",""
"failed","Thu Oct 17 13:17:37 GMT 2024","Thu Oct 17 13:17:38 GMT 2024","812","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"failed","Thu Oct 17 13:18:30 GMT 2024","Thu Oct 17 13:18:31 GMT 2024","802","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"failed","Thu Oct 17 13:19:27 GMT 2024","Thu Oct 17 13:19:27 GMT 2024","792","chromium","Decimal_API/updateLovGroup.spec.ts","","","","updateLovGroup",""
"passed","Thu Oct 17 13:19:14 GMT 2024","Thu Oct 17 13:19:15 GMT 2024","805","chromium","Decimal_API/updateEmployee.spec.ts","","","","updateEmployee",""
"passed","Thu Oct 17 13:17:51 GMT 2024","Thu Oct 17 13:17:52 GMT 2024","756","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"passed","Thu Oct 17 13:17:48 GMT 2024","Thu Oct 17 13:17:49 GMT 2024","811","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"failed","Thu Oct 17 13:19:13 GMT 2024","Thu Oct 17 13:19:13 GMT 2024","781","chromium","Decimal_API/getWorkflow.spec.ts","","","","getWorkflow",""
"failed","Thu Oct 17 13:19:35 GMT 2024","Thu Oct 17 13:19:36 GMT 2024","791","chromium","Decimal_API/updateProductSubVariant.spec.ts","","","","updateProductSubVariant",""
"failed","Thu Oct 17 13:18:45 GMT 2024","Thu Oct 17 13:18:46 GMT 2024","813","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"passed","Thu Oct 17 13:18:10 GMT 2024","Thu Oct 17 13:18:11 GMT 2024","796","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"failed","Thu Oct 17 13:17:33 GMT 2024","Thu Oct 17 13:17:34 GMT 2024","784","chromium","Decimal_API/createFunction.spec.ts","","","","createFunction",""
"passed","Thu Oct 17 13:18:16 GMT 2024","Thu Oct 17 13:18:17 GMT 2024","757","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"failed","Thu Oct 17 13:19:23 GMT 2024","Thu Oct 17 13:19:24 GMT 2024","794","chromium","Decimal_API/updateLov.spec.ts","","","","updateLov",""
"failed","Thu Oct 17 13:18:38 GMT 2024","Thu Oct 17 13:18:38 GMT 2024","784","chromium","Decimal_API/getLov.spec.ts","","","","getLov",""
"failed","Thu Oct 17 13:18:14 GMT 2024","Thu Oct 17 13:18:14 GMT 2024","794","chromium","Decimal_API/deleteProduct.spec.ts","","","","deleteProduct",""
"passed","Thu Oct 17 13:17:39 GMT 2024","Thu Oct 17 13:17:39 GMT 2024","793","chromium","Decimal_API/createLocation.spec.ts","","","","createLocation",""
"passed","Thu Oct 17 13:18:05 GMT 2024","Thu Oct 17 13:18:06 GMT 2024","788","chromium","Decimal_API/deleteLocation.spec.ts","","","","deleteLocation",""
"failed","Thu Oct 17 13:18:04 GMT 2024","Thu Oct 17 13:18:04 GMT 2024","794","chromium","Decimal_API/deleteFunctionRole.spec.ts","","","","deleteFunctionRole",""
"passed","Thu Oct 17 13:19:19 GMT 2024","Thu Oct 17 13:19:19 GMT 2024","819","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Thu Oct 17 13:18:00 GMT 2024","Thu Oct 17 13:18:00 GMT 2024","793","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"failed","Thu Oct 17 13:19:09 GMT 2024","Thu Oct 17 13:19:10 GMT 2024","803","chromium","Decimal_API/getUserRoleMpaaing.spec.ts","","","","getUserRoleMapping",""
"failed","Thu Oct 17 13:18:26 GMT 2024","Thu Oct 17 13:18:27 GMT 2024","795","chromium","Decimal_API/getFunction.spec.ts","","","","getFunction",""
"failed","Thu Oct 17 13:18:42 GMT 2024","Thu Oct 17 13:18:42 GMT 2024","808","chromium","Decimal_API/getLovGroup.spec.ts","","","","getLovGroup",""
"passed","Thu Oct 17 13:19:19 GMT 2024","Thu Oct 17 13:19:20 GMT 2024","743","chromium","Decimal_API/updateLocation.spec.ts","","","","updateLocation",""
"failed","Thu Oct 17 13:19:43 GMT 2024","Thu Oct 17 13:19:44 GMT 2024","785","chromium","Decimal_API/updateSystemRole.spec.ts","","","","updateSystemRole",""
"failed","Thu Oct 17 13:19:51 GMT 2024","Thu Oct 17 13:19:51 GMT 2024","791","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"failed","Thu Oct 17 13:18:53 GMT 2024","Thu Oct 17 13:18:54 GMT 2024","814","chromium","Decimal_API/getProductSubVariant.spec.ts","","","","getProductSubVariant",""
"failed","Thu Oct 17 13:17:43 GMT 2024","Thu Oct 17 13:17:43 GMT 2024","788","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"passed","Thu Oct 17 13:17:39 GMT 2024","Thu Oct 17 13:17:40 GMT 2024","761","chromium","Decimal_API/createLov.spec.ts","","","","createLov",""
"failed","Thu Oct 17 13:19:01 GMT 2024","Thu Oct 17 13:19:02 GMT 2024","786","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"failed","Thu Oct 17 13:18:34 GMT 2024","Thu Oct 17 13:18:35 GMT 2024","796","chromium","Decimal_API/getLocation.spec.ts","","","","getLocation",""
"failed","Thu Oct 17 13:18:22 GMT 2024","Thu Oct 17 13:18:23 GMT 2024","807","chromium","Decimal_API/getEmployee.spec.ts","","","","getEmployee",""
"failed","Thu Oct 17 13:19:30 GMT 2024","Thu Oct 17 13:19:31 GMT 2024","786","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"passed","Thu Oct 17 13:18:15 GMT 2024","Thu Oct 17 13:18:16 GMT 2024","787","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
